,replacement,config,ipc,instructions,cycles,total_access,total_hit,total_miss,load_access,load_hit,load_miss,rfo_access,rfo_hit,rfo_miss,prefetch_access,prefetch_hit,prefetch_miss,writeback_access,writeback_hit,writeback_miss
48,ship++_leaders_128,config1,0.814901,100000002,122714255,991023,710043,280980,696691,506463,190228,102176,40550,61626,0,0,0,192156,163030,29126
49,ship++_leaders_128,config1,1.51718,100000003,65911685,827374,661829,165545,730855,565941,164914,414,392,22,0,0,0,96105,95496,609
50,ship++_leaders_128,config1,0.516368,100000003,193660281,2445955,67942,2378013,1321299,1896,1319403,423300,6187,417113,0,0,0,701356,59859,641497
51,ship++_leaders_128,config2,0.460193,100000000,217300345,1164035,326996,837039,21763,3423,18340,264086,77251,186835,612079,132485,479594,266107,113837,152270
52,ship++_leaders_128,config2,0.725224,100000001,137888497,42522,7066,35456,13577,393,13184,3352,12,3340,17694,471,17223,7899,6190,1709
53,ship++_leaders_128,config2,0.644276,100000001,155213039,5795274,1462324,4332950,417310,18494,398816,2473106,377065,2096041,431736,24290,407446,2473122,1042475,1430647
54,ship++_leaders_128,config2,0.410568,100000000,243565069,157868,133926,23942,71023,61828,9195,11273,5616,5657,50719,41861,8858,24853,24621,232
55,ship++_leaders_128,config2,0.606739,100000003,164815463,5145112,262278,4882834,521243,125489,395754,17,0,17,3246551,58847,3187704,1377301,77942,1299359
56,ship++_leaders_128,config2,1.42069,100000003,70388351,831012,62938,768074,26204,11780,14424,201213,7758,193455,400922,11757,389165,202673,31643,171030
57,ship++_leaders_128,config2,0.670164,100000000,149217207,5492899,1404740,4088159,391516,16324,375192,2345767,385720,1960047,409521,21174,388347,2346095,981522,1364573
58,ship++_leaders_128,config2,0.378321,100000000,264325835,8713538,4766862,3946676,2237199,1095341,1141858,764919,275373,489546,3550948,1631288,1919660,2160472,1764860,395612
59,ship++_leaders_128,config2,1.22581,100000003,81578781,1445931,830856,615075,118916,100870,18046,121984,120535,1449,1076637,481554,595083,128394,127897,497
60,ship++_leaders_128,config2,1.03679,100000000,96451118,1574030,806367,767663,202247,168766,33481,111348,109910,1438,1127280,396602,730678,133155,131089,2066
61,ship++_leaders_128,config2,0.109598,100000002,912426951,21077750,9765767,11311983,9505019,5915500,3589519,164380,56540,107840,9645412,2332179,7313233,1762939,1461548,301391
62,ship++_leaders_128,config2,1.3563,100000002,73729873,631956,287263,344693,36929,21445,15484,152068,75871,76197,287154,91407,195747,155805,98540,57265
63,ship++_leaders_128,config2,0.255094,100000000,392012498,4309273,1411258,2898015,1523316,453389,1069927,249958,88072,161886,1529959,189578,1340381,1006040,680219,325821
64,ship++_leaders_128,config2,0.638493,100000000,156618745,4599611,1051853,3547758,466351,131306,335045,742873,95970,646903,2290021,498330,1791691,1100366,326247,774119
65,ship++_leaders_128,config2,0.609161,100000000,164160264,4812398,551938,4260460,461919,40644,421275,126472,117279,9193,2859715,128247,2731468,1364292,265768,1098524
66,ship++_leaders_128,config2,0.557529,100000003,179362827,4917133,277446,4639687,1164347,61339,1103008,24,24,0,2226064,93293,2132771,1526698,122790,1403908
67,ship++_leaders_128,config2,0.483467,100000001,206839405,4047262,231719,3815543,834801,38559,796242,24,13,11,2172001,96679,2075322,1040436,96468,943968
68,ship++_leaders_128,config2,0.37497,100000001,266688154,4665954,2416854,2249100,2183998,2042891,141107,24958,12304,12654,2376629,302948,2073681,80369,58711,21658
69,ship++_leaders_128,config2,0.499157,100000001,200337934,479224,205839,273385,108314,57542,50772,72099,9580,62519,138949,57098,81851,159862,81619,78243
70,ship++_leaders_128,config2,0.445924,100000000,224253473,13010441,10700350,2310091,5289639,4386251,903388,0,0,0,6807384,5404525,1402859,913418,909574,3844
71,ship++_leaders_128,config2,0.460972,100000003,216933040,3283322,1529937,1753385,1564298,1269157,295141,5220,2634,2586,1696956,248099,1448857,16848,10047,6801
72,ship++_leaders_128,config2,0.624707,100000003,160075081,6075009,1535447,4539562,448429,21434,426995,2591739,399337,2192402,442872,26417,416455,2591969,1088259,1503710
73,ship++_leaders_128,config2,0.682501,100000000,146519984,1088790,140222,948568,57789,8803,48986,201521,1380,200141,600986,47926,553060,228494,82113,146381
74,ship++_leaders_128,config2,0.39757,100000000,251528310,656703,613949,42754,310909,302843,8066,30806,26497,4309,212708,182979,29729,102280,101630,650
75,ship++_leaders_128,config2,0.742055,100000003,134760949,21346126,21272083,74043,165897,131106,34791,10463422,10457725,5697,183319,149941,33378,10533488,10533311,177
76,ship++_leaders_128,config2,0.710254,100000000,140794766,3757429,1208435,2548994,404930,125174,279756,463740,173986,289754,2139581,573446,1566135,749178,335829,413349
77,ship++_leaders_128,config2,0.897347,100000000,111439594,2346651,2097270,249381,882527,863291,19236,180743,106436,74307,1098526,959506,139020,184855,168037,16818
78,ship++_leaders_128,config2,0.470324,100000003,212619337,1169020,334772,834248,25398,3890,21508,265309,74808,190501,610970,140021,470949,267343,116053,151290
79,ship++_leaders_128,config2,0.520126,100000000,192261042,3801551,130172,3671379,656093,36355,619738,20,20,0,2133333,77859,2055474,1012105,15938,996167
80,ship++_leaders_128,config2,0.484504,100000003,206396744,1107956,339415,768541,23627,3990,19637,245174,61441,183733,593645,169751,423894,245510,104233,141277
81,ship++_leaders_128,config2,0.399066,100000003,250585215,635541,576616,58925,295067,285449,9618,30363,25435,4928,206831,164388,42443,103280,101344,1936
82,ship++_leaders_128,config2,0.580125,100000003,172376559,3300884,67090,3233794,970543,298,970245,136847,10185,126662,1335405,10096,1325309,858089,46511,811578
83,ship++_leaders_128,config2,0.732683,100000001,136484717,3582799,762154,2820645,298094,71108,226986,622502,116823,505679,1898798,347049,1551749,763405,227174,536231
84,ship++_leaders_128,config2,0.26267,100000001,380706470,2541078,325813,2215265,647114,53968,593146,278170,37707,240463,1132229,80818,1051411,483565,153320,330245
85,ship++_leaders_128,config2,0.886842,100000000,112759589,1795606,740942,1054664,314400,226468,87932,99914,77535,22379,1239871,308236,931635,141421,128703,12718
86,ship++_leaders_128,config2,0.138147,100000001,723867092,8751866,2692317,6059549,1887635,480925,1406710,1828634,466956,1361678,2272791,186286,2086505,2762806,1558150,1204656
87,ship++_leaders_128,config2,0.769993,100000003,129871353,1571481,1426473,145008,429785,406939,22846,294162,233797,60365,521564,466711,54853,325970,319026,6944
88,ship++_leaders_128,config2,0.121088,100000001,825847587,18753955,8246478,10507477,8469134,4408367,4060767,206405,68100,138305,7970953,2110447,5860506,2107463,1659564,447899
89,ship++_leaders_128,config2,1.29363,100000001,77301831,382570,16288,366282,27900,453,27447,3434,4,3430,288001,4692,283309,63235,11139,52096
90,ship++_leaders_128,config2,0.364632,100000003,274248827,8729788,4537501,4192287,2230280,1041844,1188436,871477,315099,556378,3453168,1505538,1947630,2174863,1675020,499843
91,ship++_leaders_128,config2,1.77802,100000000,56242407,1161490,960076,201414,133752,124719,9033,47550,13294,34256,680366,530520,149846,299822,291543,8279
92,ship++_leaders_128,config2,0.557479,100000003,179379052,3481386,61583,3419803,1002096,34,1002062,140009,0,140009,1596610,9807,1586803,742671,51742,690929
93,ship++_leaders_128,config2,0.339721,100000000,294359062,5227587,4924826,302761,2121363,1999693,121670,29853,29578,275,2267202,2096677,170525,809169,798878,10291
94,ship++_leaders_128,config2,0.12414,100000000,805540737,26954406,13284090,13670316,11716478,9896167,1820311,27356,9504,17852,14876843,3115052,11761791,333729,263367,70362
95,ship++_leaders_128,config2,0.781549,100000000,127951043,1495389,438232,1057157,89253,25287,63966,219212,28738,190474,750777,160040,590737,436147,224167,211980
96,ship++_leaders_128,config2,0.403881,100000003,247597796,6595610,3287772,3307838,1694476,770496,923980,658483,256341,402142,2682005,1095139,1586866,1560646,1165796,394850
97,ship++_leaders_128,config2,2.07905,100000001,48098913,2155,25,2130,803,0,803,129,0,129,1200,2,1198,23,23,0
98,ship++_leaders_128,config2,0.565158,100000002,176941718,134679,35094,99585,14847,4247,10600,1247,342,905,79498,9674,69824,39087,20831,18256
99,ship++_leaders_128,config2,0.916943,100000002,109058050,1373530,1069359,304171,396209,351254,44955,104383,44432,59951,675957,516362,159595,196981,157311,39670
100,ship++_leaders_128,config2,1.92652,100000000,51907134,865122,540470,324652,110526,92776,17750,416,406,10,655868,354901,300967,98312,92387,5925
101,ship++_leaders_128,config2,0.678881,100000003,147301181,2872436,68732,2803704,739034,233,738801,423298,9236,414062,1009386,2264,1007122,700718,56999,643719
102,ship++_leaders_256,config1,0.405529,100000000,246591432,1162158,347023,815135,632028,146568,485460,264148,75987,188161,0,0,0,265982,124468,141514
103,ship++_leaders_256,config1,0.723641,100000001,138189989,32512,7681,24831,21583,408,21175,3395,1,3394,0,0,0,7534,7272,262
104,ship++_leaders_256,config1,0.572674,100000001,174619382,5752320,1514317,4238003,806178,74,806104,2473066,475831,1997235,0,0,0,2473076,1038412,1434664
105,ship++_leaders_256,config1,0.40945,100000000,244230268,81693,61812,19881,53416,39658,13758,10648,4526,6122,0,0,0,17629,17628,1
106,ship++_leaders_256,config1,0.347282,100000003,287950622,4687853,807413,3880440,3310980,705163,2605817,20,0,20,0,0,0,1376853,102250,1274603
107,ship++_leaders_256,config1,1.1397,100000003,87742187,789893,118884,671009,401404,95401,306003,194181,905,193276,0,0,0,194308,22578,171730
108,ship++_leaders_256,config1,0.583309,100000000,171435810,5455668,1445006,4010662,763534,135,763399,2345912,430462,1915450,0,0,0,2346222,1014409,1331813
109,ship++_leaders_256,config1,0.284596,100000000,351375457,6993434,3673320,3320114,4167416,1760560,2406856,751792,291586,460206,0,0,0,2074226,1621174,453052
110,ship++_leaders_256,config1,0.898201,100000002,111333659,1399110,1012180,386930,1148253,766347,381906,122689,118253,4436,0,0,0,128168,127580,588
111,ship++_leaders_256,config1,0.749946,100000002,133342896,1449267,981093,468174,1202462,747271,455191,114013,104293,9720,0,0,0,132792,129529,3263
112,ship++_leaders_256,config1,0.0923871,100000002,1082402837,12167931,5945790,6222141,10389034,4740074,5648960,150311,90394,59917,0,0,0,1628586,1115322,513264
